"",Label,ALA,ARG,ASN,ASP,GLU,GLUC,GLY,LYS,MET,PHE,SER,THR,TRP,TYR,VAL,Pyr,aKG,Citrate,Fumarate,Malate,Succinic acid,Inositol,Citrulline,Butyric acid
B1T5,120,713453074.264534,1111068138.38437,381894789.740992,111420099.612055,284047281.540675,395699886.076516,13726519.5812984,112582434.022197,466212117.614934,1177213373.27602,10240642.5510889,130231946.841936,351832499.311156,216829723.414731,278643122.916615,38925580.5395174,2170621.5991809,106599939.430301,8132981.42806499,212273126.925015,9865256.61975192,46561787.2529607,5226305.19987822,16781758.4492256
B2T5,120,493338880.099855,1131072662.99332,320134932.219855,217979999.448594,467899862.323983,544489200.928965,12230245.8609715,86825730.4277429,433518487.008086,867362099.467932,12794814.5875158,112289301.902092,282828497.412096,195108483.296266,257753238.529645,116399744.487777,7844504.23175518,68951285.404266,4044304.27986574,100752964.522303,10387083.7082582,35365367.2863877,2951230.07141532,19586677.369254
B3T5,120,499069194.017888,1019662965.46209,292062848.789459,184907786.750378,388227986.463264,389595522.798373,10587973.4108738,88321202.9826158,356532656.454104,850305579.660781,7319121.26955359,95429060.9559182,282509650.038406,166455295.315925,189757060.919652,102082064.215979,7362663.27243807,92098152.1448974,4561318.55925592,124046443.021293,11548405.813781,32306104.0698161,2994827.59798606,14749829.5698503
B1T6,144,886586677.347751,1158015635.11634,407860846.734054,142695571.853927,335167566.811816,371110988.326303,15552692.667332,127377318.093345,479668795.355257,1154544605.89841,13789569.7512059,139113365.248129,393938141.824098,228839318.317221,325039145.429766,60438034.5690618,3289099.20069409,123097927.315799,12861012.9469596,337832833.953596,5099647.04582743,53591240.3526023,6506928.24310705,15563428.8553902
B2T6,144,604280370.823359,1096115918.08213,319431173.192456,228342550.670556,453677557.282421,454792147.352205,13712389.8420211,122819096.85826,470556811.663395,1022660165.9493,11361997.1793921,127465981.114716,312638334.176573,211938285.475266,248541360.946271,97033202.0811179,7239062.09696349,99127896.9062155,4993738.70810282,129576893.020056,12269299.0238072,35188796.6220768,3950985.03494959,9997532.96799592
B3T6,144,438939432.375202,1258380102.1142,299018376.233688,253729961.023165,402352793.179031,654224684.742396,9698884.13937619,98748937.9013162,539927354.104889,1040022185.39238,31487226.2172886,124431931.93658,263101799.035519,231273699.377033,311634910.0849,95449497.5550696,5307895.91619778,62251914.9753634,4321871.7501391,120393100.082184,12871511.1324435,38613767.6696123,3271850.03098387,25737033.1084561
B1T1,24,348873802.318071,1434196963.16509,288007907.109438,288288488.540677,273330034.379645,758961657.832797,5593370.64450268,119568630.308084,644631738.070484,1042864511.41785,48304977.5479065,135886351.380815,285878085.337924,249955743.449646,436365888.953075,101169052.212769,5999617.71523665,50961974.9682931,1165522.70441137,22737121.4641205,10874166.0017153,30998620.5550873,2071005.03986042,14639025.62235
B2T1,24,371654578.610949,1294588067.57277,277121420.767092,322919614.220128,269598715.52024,729179434.682212,4443018.44300335,136710671.011561,747230261.045579,1161697244.4277,53688163.586612,171157015.49458,296666297.033685,303649508.008956,410948480.482737,157429936.92955,4322879.99371266,54111899.2165768,588218.215834386,18750529.906138,9354652.13860689,28493340.7061753,1815965.38970274,9114102.58774568
B3T1,24,354476772.564784,1382435577.8278,285788063.152687,302824752.103249,292018558.816524,740753892.008056,5050023.24735867,140091643.778125,716982705.489244,1056233323.88284,51118126.9833003,141434086.815549,287234778.050936,262772370.711423,332386919.861097,115622638.377382,4865614.93377584,53255409.3228109,821551.810043996,22948043.0336071,10402372.6593966,29690598.5912457,1834571.6449642,12890639.7229304
B1T2,48,399733237.486441,1328779356.52418,307666407.659997,244507351.393137,304495070.615121,629565200.230881,7952307.56642004,114594306.207699,617078910.149947,1014534661.16345,34676801.5211801,134209989.906482,292370628.29822,242503930.336972,307364067.174513,90577173.0711051,7436238.78133044,60797894.0264049,1634736.09478383,41345132.3187015,13681838.5741341,32660883.5440285,2341003.89052203,11661711.9695183
B2T2,48,369549746.893754,1283219588.42554,284767185.534585,295324394.274004,319760688.0549,593973697.95203,6313920.3237659,132388264.53355,674664152.32682,1180664158.58566,43491243.1921881,152667458.504628,296399653.420604,259799654.642864,350854401.365428,87094696.4570708,7146417.79642735,57188828.849414,1121390.22648543,33617777.6290604,9633569.57437925,29710689.8645455,2180714.56276187,10585889.2746668
B3T2,48,362415940.974956,1326788119.95133,282598937.723214,297893519.737136,325527145.06994,557216170.535408,6947952.46127436,124697652.375173,633011613.572538,1052891494.2442,40377490.1536839,139956243.990149,292647944.567578,259842025.88461,313281327.754484,78022976.128862,7336566.39451644,63122559.4695578,1481132.30126809,40971368.2532263,11950054.8748812,31178963.2721217,2281396.40092422,11711553.5157074
B1T3,72,488306932.299604,1224562008.63107,296901251.264142,167137864.162864,292055019.305165,591084370.565545,10527921.6266136,91553253.3821299,447713712.901868,884242352.19567,16311957.1425647,114031248.719967,277525240.496224,194310562.176236,256213544.499756,100281504.018595,7087668.98807019,70533459.9670513,2535813.10952894,60783988.2802486,13177114.8251033,33490445.1399769,2495580.89033903,17205438.150292
