Method (a)	Metabolite (b)	Calibrated (e)	UACC-257	UACC-257	OVCAR-8	OVCAR-8	OVCAR-5	OVCAR-5	SF-295	SF-295	A549/ATCC	A549/ATCC	RXF 393	RXF 393	CAKI-1	CAKI-1	MDA-MB-435	MDA-MB-435	EKVX	EKVX	NCI-H23	NCI-H23	HCC-2998	HCC-2998	NCI/ADR-RES	NCI/ADR-RES	HT29	HT29	M14	M14	HCT-116	HCT-116	HOP-62	HOP-62	786-O	786-O	NCI-H322M	NCI-H322M	BT-549	BT-549	MALME-3M	MALME-3M	TK-10	TK-10	UO-31	UO-31	T-47D	T-47D	MCF7	MCF7	NCI-H460	NCI-H460	SK-OV-3	SK-OV-3	SK-MEL-5	SK-MEL-5	SNB-19	SNB-19	SF-539	SF-539	COLO 205	COLO 205	KM12	KM12	OVCAR-3	OVCAR-3	SF-268	SF-268	DU-145	DU-145	HS 578T	HS 578T	SW620	SW620	SK-MEL-28	SK-MEL-28	A498	A498	IGROV1	IGROV1	MOLT-4	MOLT-4	K562	K562	HOP-92	HOP-92	PC-3	PC-3	HL-60(TB)	HL-60(TB)	MDA-MB-468	MDA-MB-468	SK-MEL-2	SK-MEL-2	NCI-H522	NCI-H522	HCT-15	HCT-15	ACHN	ACHN	U251	U251	LOX IMVI	LOX IMVI	SNB-75	SNB-75	OVCAR-4	OVCAR-4	NCI-H226	NCI-H226	UACC-62	UACC-62	SN12C	SN12C	MDA-MB-231/ATCC	MDA-MB-231/ATCC	CCRF-CEM	CCRF-CEM	RPMI 8226	RPMI 8226	SR	SR
IPR	2-phosphoglycerate	1	0.011	0.012	0.002	0.002	0.004	0.003	0.046	0.042	0.001	0.001	0.033	0.033	0.009	0.006	0.023	0.019	0.009	0.009	0.007	0.010	0.044	0.046	0.001	0.001	0.001	-0.002	0.011	0.007	0.001	0.001	0.002	0.000	0.001	0.000	0.025	0.020	0.020	0.013	0.004	0.002	0.001	0.001	0.003	0.003	0.002	0.000	0.001	0.000	0.007	0.012	0.000	0.000	0.033	0.032	0.021	0.004	0.008	0.008	0.013	0.012	0.002	0.002	0.004	0.002	0.001	0.002	0.006	0.007	0.017	0.022	0.005	0.005	0.010	0.003	0.007	0.009	0.004	0.004	0.001	0.001	0.009	0.011	0.013	0.009	0.017	0.016	0.005	0.001	0.011	0.009	0.040	0.057	0.025	0.037	0.004	0.003	0.007	0.007	0.004	0.003	0.021	0.022	0.003	0.002	0.008	0.013	0.004	0.005	0.015	0.018	0.001	0.003	0.003	0.004	0.000	0.000	0.004	0.004	0.005	0.006
IPR	OH-phenylpyruvate	1	0.006	0.006	0.004	0.004	0.005	0.003	0.061	0.071	0.081	0.073	0.048	0.060	0.051	0.051	0.020	0.011	0.007	0.006	0.003	0.005	0.033	0.041	0.002	0.005	0.014	0.011	0.006	0.000	0.013	0.011	0.002	0.001	0.002	0.004	0.020	0.019	0.029	0.028	0.005	0.003	0.008	0.008	0.005	0.005	0.010	0.010	0.010	0.009	0.006	0.007	0.011	0.007	0.013	0.019	0.000	0.003	0.009	0.008	0.012	0.010	0.001	0.001	0.007	0.005	0.004	0.003	0.003	0.006	0.004	0.001	0.004	0.005	0.015	0.010	0.004	0.014	0.011	0.016	0.000	0.001	0.002	0.001	0.001	0.000	0.006	0.007	0.000	0.000	0.003	0.004	0.003	0.005	0.002	0.005	0.022	0.020	0.063	0.049	0.000	0.001	0.010	0.005	0.003	0.002	0.011	0.007	0.001	0.001	0.008	0.005	0.004	0.004	0.000	0.001	0.000	0.000	0.005	0.002	0.000	0.000
HILIC	aminoisobutyrate	1	-0.001	-0.001	-0.001	-0.003	-0.009	-0.003	-0.007	-0.007	-0.002	-0.001	-0.028	0.002	-0.003	-0.003	-0.002	-0.002	0.001	-0.004	-0.003	-0.004	-0.002	0.000	-0.001	-0.004	-0.007	-0.005	-0.012	-0.011	-0.002	-0.003	-0.003	-0.004	0.001	-0.002	-0.004	-0.004	0.000	0.000	-0.001	-0.004	-0.001	0.002	0.001	0.003	0.001	0.000	-0.002	0.000	-0.001	0.000	-0.002	0.002	-0.003	-0.003	0.005	-0.005	0.000	0.000	-0.001	-0.001	0.000	0.000	0.001	0.001	0.000	-0.001	0.000	-0.002	-0.003	-0.005	-0.002	0.001	0.001	0.001	-0.001	-0.003	0.000	0.002	0.000	0.000	-0.005	-0.003	0.000	-0.004	-0.002	0.001	-0.001	-0.002	-0.001	-0.001	-0.034	0.003	-0.002	0.000	0.000	0.001	-0.002	0.002	-0.002	0.000	-0.006	-0.005	0.002	-0.004	0.002	0.001	-0.005	0.001	-0.001	0.000	0.000	-0.002	-0.002	-0.001	-0.004	-0.004	-0.001	-0.005	-0.002	-0.002
HILIC	3-hydroxyanthranilate	1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.001	0.000	0.000	0.000	0.000	0.007	0.028	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.001	0.234	0.284	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.002	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.002	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
IPR	3-phosphoglycerate	1	0.011	0.010	0.002	0.002	0.005	0.005	0.029	0.027	0.002	0.001	0.025	0.023	0.008	0.007	0.017	0.015	0.007	0.010	0.007	0.008	0.050	0.038	0.001	0.004	-0.003	-0.002	0.000	0.006	0.001	-0.002	0.000	0.000	-0.002	-0.001	0.018	0.016	0.016	0.019	0.004	0.002	0.001	0.000	0.001	0.002	0.002	0.000	0.001	0.000	0.007	0.007	0.001	0.001	0.031	0.032	0.011	-0.006	0.006	0.006	0.012	0.010	0.001	0.001	0.001	0.000	0.002	0.002	0.003	0.002	0.009	0.012	0.004	0.002	0.001	0.013	0.001	0.005	0.000	0.005	0.000	0.000	0.004	0.002	0.008	0.000	0.011	0.009	0.002	0.004	0.010	0.010	0.027	0.041	0.021	0.025	0.003	0.001	0.003	0.002	0.002	0.001	0.016	0.015	0.002	0.001	0.011	0.007	0.004	0.002	0.008	0.009	0.003	0.002	0.003	0.004	0.002	0.000	0.007	-0.001	0.001	0.003
HILIC	GABA	1	0.011	0.011	0.022	0.018	0.011	0.010	0.035	0.027	0.042	0.045	0.020	0.020	0.041	0.045	0.003	0.002	0.118	0.113	0.071	0.070	0.058	0.058	0.038	0.036	0.169	0.164	0.008	0.006	0.038	0.034	0.026	0.029	0.007	0.009	0.013	0.014	0.086	0.080	0.021	0.021	0.018	0.021	0.007	0.007	-0.001	0.000	0.002	0.002	0.015	0.013	0.032	0.030	0.029	0.028	0.046	0.042	0.033	0.030	0.041	0.038	0.062	0.062	0.029	0.026	0.009	0.008	0.032	0.034	0.114	0.119	0.017	0.021	0.012	0.011	0.066	0.073	0.066	0.066	0.046	0.047	0.088	0.090	0.047	0.044	0.097	0.088	0.005	0.004	0.022	0.022	0.040	0.054	0.326	0.344	0.013	0.015	0.002	0.002	0.096	0.094	0.025	0.024	0.019	0.015	0.033	0.033	0.020	0.020	0.029	0.031	0.037	0.037	0.005	0.004	0.020	0.019	0.018	0.027	0.008	0.007
IPR	4-hydroxybenzoate	1	0.000	0.000	0.001	0.001	0.000	0.000	-0.002	-0.002	0.000	0.000	-0.001	-0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.012	0.011	0.001	0.001	0.001	0.001	0.000	-0.001	0.000	-0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.005	0.005	0.000	0.000	-0.001	-0.001	0.000	-0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.003	0.003	-0.001	-0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.001	-0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.001	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.001	-0.001	0.000	0.000	0.000	0.000	0.000	0.000	-0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
HILIC	cis-hydroxyproline/trans-hydroxyproline	1	-0.230	-0.104	-0.350	-0.265	-0.429	-0.612	-0.346	-0.820	-0.382	-0.421	0.491	0.945	-0.584	-0.241	-0.414	-0.407	-0.652	-0.684	-0.710	-0.758	-0.579	-0.307	-0.596	-0.550	-0.896	-0.468	-0.484	-1.293	-1.187	-1.062	-0.403	-0.417	-0.288	-0.118	-0.813	-0.512	-0.665	-0.542	-0.562	-0.884	-0.127	-0.213	0.281	0.177	-0.542	-0.784	-0.262	-0.409	-0.324	-0.237	0.099	0.104	-0.911	-1.000	-3.277	-3.774	0.044	-0.147	-0.004	-0.111	-0.157	-0.024	-0.077	-0.079	-0.189	-0.282	-0.411	-0.314	-0.519	0.027	-0.469	-0.280	-1.379	-0.981	-0.401	0.045	-0.650	-1.037	-0.116	-0.061	-1.033	-1.544	-1.422	-1.229	-0.387	-0.290	-0.241	-0.573	-0.144	-0.267	-4.368	-0.742	-0.480	0.067	-0.130	-0.096	-0.386	-0.517	-0.373	-0.500	-1.507	-1.185	-0.396	-0.855	-0.063	-0.222	-0.797	-0.213	-0.413	-0.247	-0.437	-1.062	-0.459	-0.672	-0.608	-0.887	-1.153	-0.937	-0.584	-0.450
IPR	4-pyridoxate	1	0.000	0.000	0.000	0.000	0.000	0.000	0.001	0.000	0.001	0.001	0.001	0.000	0.001	0.001	0.000	0.000	0.001	0.001	0.000	0.000	0.001	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.001	0.000	0.000	0.000	0.000	0.001	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.003	0.003	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.001	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
IPR	5-HIAA	1	0.001	0.000	0.002	0.003	0.005	0.006	0.053	0.042	0.006	0.005	-0.001	0.007	0.007	0.010	0.006	0.005	0.001	0.002	0.002	0.003	0.022	0.028	0.002	0.000	0.001	0.003	0.003	-0.002	0.013	0.014	0.004	0.004	0.002	0.000	0.001	0.001	0.005	0.004	0.001	-0.002	0.000	-0.001	0.000	0.002	-0.001	0.001	0.001	0.001	0.005	0.004	0.003	0.001	0.019	0.018	-0.007	0.001	0.006	0.002	0.003	0.003	0.004	0.005	0.002	0.002	0.000	0.000	0.006	0.004	0.004	0.005	0.001	0.001	0.003	0.007	0.000	0.004	0.003	0.002	0.002	0.001	0.004	0.005	0.007	0.007	0.025	0.023	-0.001	0.001	0.001	0.001	0.008	0.004	-0.004	-0.003	0.005	0.007	0.004	0.003	0.000	0.000	0.006	0.007	0.008	0.010	0.003	0.001	0.007	0.011	0.009	0.012	0.008	0.006	0.003	0.001	0.000	-0.002	0.005	0.003	0.002	0.002
